C:\Users\USER\AppData\Local\Programs\Python\Python39\python.exe "D:/GameDev-Programming/Python/Solo Projects 3/brute force zip file open/threaded version.py"
(1): Starting...
(1): Started
(1): number of letters: 1
(1): number of letters: 2
(1): number of letters: 3
(1): number of letters: 4
(1): END
         55291252 function calls (55290680 primitive calls) in 62.142 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   942149    0.424    0.000    0.424    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\Cryptodome\Util\_raw_api.py:132(get_raw_buffer)
    67296    0.218    0.000    0.416    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\ntpath.py:450(normpath)
   134593    0.057    0.000    0.405    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\Cryptodome\Hash\HMAC.py:95(update)
    67296    0.173    0.000    0.384    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\ntpath.py:77(join)
    67296    0.098    0.000    0.352    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\pyzipper\zipfile.py:2108(_sanitize_windows_name)
    67296    0.032    0.000    0.341    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\ntpath.py:221(dirname)
   168242    0.318    0.000    0.318    0.000 {method 'tell' of '_io.BufferedReader' objects}
    67296    0.170    0.000    0.309    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\ntpath.py:180(split)
  1480518    0.307    0.000    0.307    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\Cryptodome\Util\_raw_api.py:267(__init__)
   201894    0.126    0.000    0.288    0.000 {method 'join' of 'str' objects}
  2422667    0.255    0.000    0.255    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\Cryptodome\Util\_raw_api.py:271(get)
  1480518    0.237    0.000    0.237    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\Cryptodome\Util\_raw_api.py:151(get)
    33648    0.021    0.000    0.229    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\pyzipper\zipfile_aes.py:294(setup_decrypter)
    33648    0.057    0.000    0.208    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\pyzipper\zipfile_aes.py:277(setup_aeszipdecrypter)
  1749707    0.172    0.000    0.172    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\Cryptodome\Util\_raw_api.py:111(c_size_t)
  1480518    0.170    0.000    0.170    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\Cryptodome\Util\_raw_api.py:154(address_of)
    33648    0.074    0.000    0.119    0.000 {method 'decode' of 'bytes' objects}
   168240    0.055    0.000    0.116    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\pyzipper\zipfile.py:2120(<genexpr>)
    33648    0.070    0.000    0.097    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\pyzipper\zipfile.py:1502(close)
    67296    0.085    0.000    0.085    0.000 {method 'translate' of 'str' objects}
   538376    0.080    0.000    0.080    0.000 {method 'replace' of 'str' objects}
    33648    0.052    0.000    0.067    0.000 D:\GameDev-Programming\Python\Solo Projects 3\brute force zip file open\threaded version.py:62(value_reversed)
    67300    0.031    0.000    0.061    0.000 D:\GameDev-Programming\Python\Solo Projects 3\brute force zip file open\threaded version.py:59(value)
   168240    0.047    0.000    0.061    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\pyzipper\zipfile.py:2118(<genexpr>)
   572016    0.060    0.000    0.060    0.000 {built-in method nt.fspath}
    67295    0.035    0.000    0.054    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\pyzipper\zipfile.py:1113(close)
   134593    0.052    0.000    0.052    0.000 {built-in method _struct.pack}
   202177    0.052    0.000    0.052    0.000 {method 'split' of 'str' objects}
    67296    0.037    0.000    0.050    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\pyzipper\zipfile.py:1916(getinfo)
   168240    0.046    0.000    0.046    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\pyzipper\zipfile.py:2140(<genexpr>)
    33648    0.017    0.000    0.045    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\encodings\cp437.py:14(decode)
    67296    0.041    0.000    0.041    0.000 {built-in method _struct.unpack}
    33648    0.026    0.000    0.039    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\pyzipper\zipfile.py:1253(raise_for_unsupported_flags)
    33648    0.023    0.000    0.038    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\pyzipper\zipfile.py:1885(namelist)
    33649    0.035    0.000    0.038    0.000 D:\GameDev-Programming\Python\Solo Projects 3\brute force zip file open\threaded version.py:37(inc)
   134737    0.037    0.000    0.037    0.000 {method 'startswith' of 'str' objects}
   134594    0.037    0.000    0.037    0.000 {method 'seek' of '_io.BufferedReader' objects}
    67300    0.031    0.000    0.031    0.000 {method 'copy' of 'list' objects}
    33648    0.030    0.000    0.030    0.000 {method 'format' of 'str' objects}
    67296    0.030    0.000    0.030    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\pyzipper\zipfile.py:846(is_dir)
    33648    0.030    0.000    0.030    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\pyzipper\zipfile.py:1083(__init__)
    33648    0.028    0.000    0.028    0.000 {built-in method _codecs.charmap_decode}
   168245    0.028    0.000    0.028    0.000 {method 'rstrip' of 'str' objects}
   134594    0.026    0.000    0.026    0.000 {method 'read' of '_io.BufferedReader' objects}
    67296    0.018    0.000    0.025    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\Cryptodome\Util\py3compat.py:124(tobytes)
    67296    0.016    0.000    0.022    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\ntpath.py:34(_get_bothseps)
   134594    0.022    0.000    0.022    0.000 {method '__exit__' of '_thread.RLock' objects}
    33648    0.021    0.000    0.021    0.000 {function ZipExtFile.close at 0x0000023D30ED7940}
   134594    0.021    0.000    0.021    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\pyzipper\zipfile.py:2019(<lambda>)
    67296    0.020    0.000    0.020    0.000 {built-in method builtins.hasattr}
    33648    0.019    0.000    0.019    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\pyzipper\zipfile.py:2351(_fpclose)
    33648    0.016    0.000    0.016    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\pyzipper\zipfile.py:1887(<listcomp>)
    33648    0.016    0.000    0.016    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\pyzipper\zipfile_aes.py:72(encryption_header_length)
    33648    0.016    0.000    0.016    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\pyzipper\zipfile.py:1297(get_decrypter_kwargs)
    67591    0.013    0.000    0.013    0.000 {method 'get' of 'dict' objects}
    33648    0.012    0.000    0.012    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\pyzipper\zipfile.py:444(is_utf_filename)
    33648    0.010    0.000    0.010    0.000 {method 'encode' of 'str' objects}
    33649    0.010    0.000    0.010    0.000 {built-in method zlib.crc32}
    33648    0.009    0.000    0.009    0.000 {built-in method _stat.S_ISDIR}
    33648    0.008    0.000    0.008    0.000 {method 'seekable' of '_io.BufferedReader' objects}
    33648    0.007    0.000    0.007    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\pyzipper\zipfile.py:453(is_compressed_patch_data)
    33648    0.007    0.000    0.007    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\pyzipper\zipfile.py:440(is_encrypted)
    33648    0.006    0.000    0.006    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\pyzipper\zipfile.py:458(is_strong_encryption)
        2    0.000    0.000    0.002    0.001 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\cffi\api.py:162(_typeof_locked)
        2    0.000    0.000    0.002    0.001 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\cffi\cparser.py:551(parse_type)
        2    0.000    0.000    0.002    0.001 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\cffi\cparser.py:554(parse_type_and_quals)
        2    0.000    0.000    0.002    0.001 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\cffi\cparser.py:307(_parse)
        2    0.000    0.000    0.002    0.001 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\pycparser\c_parser.py:132(parse)
        2    0.000    0.000    0.002    0.001 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\pycparser\ply\yacc.py:323(parse)
        2    0.000    0.000    0.002    0.001 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\pycparser\ply\yacc.py:1001(parseopt_notrack)
       12    0.000    0.000    0.001    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\cffi\api.py:911(__getattr__)
       12    0.000    0.000    0.001    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\cffi\api.py:900(make_accessor)
       14    0.000    0.000    0.001    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\cffi\api.py:433(_get_cached_btype)
       12    0.000    0.000    0.001    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\cffi\api.py:834(accessor_function)
    55/11    0.000    0.000    0.001    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\cffi\model.py:56(get_cached_btype)
   323/81    0.000    0.000    0.001    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\cffi\model.py:81(__hash__)
        1    0.000    0.000    0.001    0.001 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\Cryptodome\Cipher\AES.py:130(new)
        1    0.000    0.000    0.001    0.001 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\Cryptodome\Cipher\__init__.py:54(_create_cipher)
        1    0.000    0.000    0.001    0.001 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\Cryptodome\Cipher\_mode_ctr.py:280(_create_ctr_cipher)
       48    0.000    0.000    0.000    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\pycparser\c_lexer.py:76(token)
       48    0.000    0.000    0.000    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\pycparser\ply\lex.py:305(token)
   323/81    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      393    0.000    0.000    0.000    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\cffi\model.py:68(_get_items)
        9    0.000    0.000    0.000    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\cffi\model.py:242(build_backend_type)
        4    0.000    0.000    0.000    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\cffi\api.py:877(update_accessors)
        1    0.000    0.000    0.000    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\Cryptodome\Cipher\_mode_ctr.py:89(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\Cryptodome\Cipher\AES.py:81(_create_base_cipher)
        1    0.000    0.000    0.000    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\shutil.py:197(copyfileobj)
        2    0.000    0.000    0.000    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\pyzipper\zipfile.py:1358(read)
        1    0.000    0.000    0.000    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\pyzipper\zipfile.py:1448(_read1)
      393    0.000    0.000    0.000    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\cffi\model.py:69(<listcomp>)
      186    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
       12    0.000    0.000    0.000    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\cffi\model.py:589(global_cache)
        7    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        1    0.000    0.000    0.000    0.000 {built-in method io.open}
       20    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\pyzipper\zipfile.py:1486(_read2)
        7    0.000    0.000    0.000    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\pycparser\c_parser.py:680(p_decl_body)
       26    0.000    0.000    0.000    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\pycparser\plyparser.py:55(_token_coord)
        1    0.000    0.000    0.000    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\pyzipper\zipfile_aes.py:78(decrypt)
       24    0.000    0.000    0.000    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\pycparser\plyparser.py:125(param_rule)
        1    0.000    0.000    0.000    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\Cryptodome\Cipher\_mode_ctr.py:215(decrypt)
        7    0.000    0.000    0.000    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\pycparser\c_parser.py:375(_build_declarations)
    35/28    0.000    0.000    0.000    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\cffi\model.py:74(__eq__)
        2    0.000    0.000    0.000    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\cffi\model.py:316(build_backend_type)
      210    0.000    0.000    0.000    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\pycparser\ply\yacc.py:240(__getitem__)
       11    0.000    0.000    0.000    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\pycparser\c_parser.py:1105(p_direct_xxx_declarator_1)
      729    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        8    0.000    0.000    0.000    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\pycparser\c_parser.py:821(p_type_specifier_no_typeid)
        2    0.000    0.000    0.000    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\cffi\cparser.py:189(_preprocess)
       12    0.000    0.000    0.000    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\weakref.py:165(__setitem__)
      496    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
      5/2    0.000    0.000    0.000    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\cffi\cparser.py:597(_get_type_and_quals)
       25    0.000    0.000    0.000    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\pycparser\c_lexer.py:505(t_ID)
       13    0.000    0.000    0.000    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\pycparser\c_parser.py:306(_fix_decl_name_type)
        1    0.000    0.000    0.000    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\pyzipper\zipfile_aes.py:316(check_integrity)
        2    0.000    0.000    0.000    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\cffi\cparser.py:255(_common_type_names)
        1    0.000    0.000    0.000    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\pyzipper\zipfile_aes.py:299(check_wz_aes)
       26    0.000    0.000    0.000    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\pycparser\plyparser.py:49(_coord)
      167    0.000    0.000    0.000    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\pycparser\ply\yacc.py:248(__setitem__)
        2    0.000    0.000    0.000    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\pycparser\c_parser.py:1276(p_parameter_declaration_2)
       11    0.000    0.000    0.000    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\pycparser\c_parser.py:861(p_init_declarator)
       11    0.000    0.000    0.000    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\pycparser\c_parser.py:852(p_init_declarator_list)
        1    0.000    0.000    0.000    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\pyzipper\zipfile_aes.py:82(check_hmac)
       20    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
        2    0.000    0.000    0.000    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\pycparser\c_parser.py:1412(p_direct_abstract_declarator_3)
       52    0.000    0.000    0.000    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\pycparser\ply\yacc.py:268(lexpos)
        1    0.000    0.000    0.000    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\pyzipper\zipfile.py:1262(get_decompressor)
        4    0.000    0.000    0.000    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\pycparser\c_lexer.py:273(t_PPHASH)
        5    0.000    0.000    0.000    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\pycparser\c_parser.py:765(p_declaration_specifiers_no_type_2)
       12    0.000    0.000    0.000    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\weakref.py:348(__new__)
        4    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.000    0.000 {built-in method zlib.decompressobj}
        1    0.000    0.000    0.000    0.000 {method 'decompress' of 'zlib.Decompress' objects}
       17    0.000    0.000    0.000    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\pycparser\plyparser.py:42(optrule)
        9    0.000    0.000    0.000    0.000 {built-in method _cffi_backend.new_function_type}
       12    0.000    0.000    0.000    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\pycparser\c_parser.py:201(_lex_type_lookup_func)
       12    0.000    0.000    0.000    0.000 {method 'load_function' of '_cffi_backend.CLibrary' objects}
        8    0.000    0.000    0.000    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\pycparser\ply\lex.py:263(begin)
        5    0.000    0.000    0.000    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\pycparser\c_parser.py:801(p_declaration_specifiers_6)
       14    0.000    0.000    0.000    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\pycparser\c_parser.py:351(_add_declaration_specifier)
        5    0.000    0.000    0.000    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\pycparser\c_parser.py:529(p_translation_unit_2)
        2    0.000    0.000    0.000    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\pycparser\c_parser.py:1170(p_direct_xxx_declarator_6)
       12    0.000    0.000    0.000    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\weakref.py:353(__init__)
       11    0.000    0.000    0.000    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\pycparser\c_parser.py:1093(p_xxx_declarator_1)
        1    0.000    0.000    0.000    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\cffi\model.py:174(build_backend_type)
       34    0.000    0.000    0.000    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\pycparser\ply\yacc.py:254(__len__)
       26    0.000    0.000    0.000    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\pycparser\ply\yacc.py:257(lineno)
       71    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
        4    0.000    0.000    0.000    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\pycparser\c_lexer.py:303(t_ppline_NEWLINE)
       12    0.000    0.000    0.000    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\pycparser\c_parser.py:182(_is_type_in_scope)
       11    0.000    0.000    0.000    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\pycparser\c_parser.py:1087(p_declarator)
        1    0.000    0.000    0.000    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\pycparser\c_parser.py:1763(p_constant_1)
       12    0.000    0.000    0.000    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\weakref.py:134(__getitem__)
        9    0.000    0.000    0.000    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\pycparser\c_lexer.py:352(t_NEWLINE)
        2    0.000    0.000    0.000    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\cffi\cparser.py:167(_remove_line_directives)
        4    0.000    0.000    0.000    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\pycparser\c_parser.py:796(p_declaration_specifiers_5)
        9    0.000    0.000    0.000    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\pycparser\c_parser.py:837(p_type_specifier)
       26    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
